아이디,ori_아이디,전국,광주,전국구,광주구,광주 광산구,광주 남구,광주 동구,광주 북구,광주 서구,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,무주택자,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,저소득,한부모/조손,신용불량자,독거노인,취약계층,해당없음,일자리,주거,일상생활,신체건강 및 보건의료,정신건강 및 심리정서,사업목적해당없음,안전 및 권익보장,문화 및 여가,보육 및 교육,보호 및 돌봄/요양
2068,487000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2069,487000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2070,487000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2071,487000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2072,487000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2073,487000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2074,487000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2075,487000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2076,487000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2077,487000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2078,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2079,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2080,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2081,488000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2082,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2083,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2084,488000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2085,488000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2086,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2087,488000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2088,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2089,488000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2090,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2091,488000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2092,488000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2093,489000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2094,489000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2095,489000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2096,489000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2097,489000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2098,489000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2099,489000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2100,489000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2101,489000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2102,489000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
