아이디,ori_아이디,전국,광주,전국구,광주구,광주 광산구,광주 남구,광주 동구,광주 북구,광주 서구,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,무주택자,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,저소득,한부모/조손,신용불량자,독거노인,취약계층,해당없음,일자리,주거,일상생활,신체건강 및 보건의료,정신건강 및 심리정서,사업목적해당없음,안전 및 권익보장,문화 및 여가,보육 및 교육,보호 및 돌봄/요양
489,325000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
490,325000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
491,325000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
492,325000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
493,325000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
494,326000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
495,326000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
496,326000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
497,326000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
498,326000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
499,326000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
500,327000000000,전국,@,전국구,@,@,@,@,@,@,아동,@,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
501,327000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
502,327000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
503,327000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
504,328000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
505,328000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
506,328000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
507,328000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
508,329000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
509,329000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
510,329000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
511,330000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
512,330000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
513,330000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
514,331000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
515,331000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
516,332000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
517,332000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
518,333000000000,전국,@,전국구,@,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
519,333000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
520,333000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
521,333000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
522,333000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
523,333000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
524,334000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
525,334000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
526,334000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
527,334000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
528,334000000000,전국,@,전국구,@,@,@,@,@,@,@,@,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
529,335000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
530,336000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
531,336000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
532,336000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
533,337000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
534,337000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
535,337000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
536,337000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
537,337000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
538,338000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
539,338000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
540,338000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
541,338000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
542,338000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
543,338000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
544,338000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
545,338000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
546,339000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
547,339000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
548,339000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
549,340000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
550,340000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
551,340000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
552,340000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
553,341000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
554,341000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
555,341000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
556,341000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
557,342000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
558,342000000000,전국,@,전국구,@,@,@,@,@,@,아동,@,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
559,342000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
560,342000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
561,343000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
562,343000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
563,343000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
564,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
565,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
566,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
567,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
568,343000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
569,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
570,343000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
571,343000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,@,@,@,@,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
572,344000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
573,344000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
574,344000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
575,345000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
576,345000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
577,346000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
578,346000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
579,346000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
580,346000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
581,346000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
582,347000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
583,347000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
584,347000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
585,347000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
586,347000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
587,347000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
588,347000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
589,348000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
